text,label,has_arbitration,arbitration_type,features,source,ambiguous,text_length,word_count,arbitration_keyword_count,legal_keyword_count
You consent to the exclusive jurisdiction of the courts located in California.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,78,12,0,2
Disputes should first be addressed through informal resolution procedures.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,74,9,0,2
Disputes will be resolved by a single arbitrator appointed under AAA rules. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified",synthetic,False,137,22,2,1
You consent to the exclusive jurisdiction of the courts located in the state of incorporation.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,94,15,0,2
These Terms are governed by the laws of Delaware and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,89,17,0,2
Legal proceedings may be initiated in any court of competent jurisdiction. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,123,20,0,4
All claims must be resolved through arbitration conducted by American Arbitration Association in California.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,108,14,2,1
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of American Arbitration Association. You waive your right to participate in class action lawsuits. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"class_action_waiver,provider_specified",synthetic,False,291,42,2,4
Litigation may be pursued in state or federal court as appropriate. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,137,21,0,2
"The Service may contain links to third-party websites or services that are not owned or controlled by the Company. The Company has no control over, and assumes no responsibility for, the content, privacy policies, or practices of any third-party websites or services. You acknowledge and agree that the Company shall not be liable for any damage or loss caused by your use of any such third-party services.",0,False,none,"external_links,no_liability,third_party_disclaimer",original,False,406,67,0,0
Alternative dispute resolution is encouraged but not required.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,62,8,1,2
Litigation may be pursued in state or federal court as appropriate.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,67,11,0,2
Binding arbitration will be the exclusive remedy for any legal matter related to this service.,1,True,binding,binding,synthetic,False,94,15,2,0
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,location_specified",synthetic,False,237,37,1,2
Disputes may be resolved through arbitration or court proceedings at the party's option.,1,True,optional,"optional_arbitration,choice_available",original,True,88,13,1,3
Litigation may be pursued in state or federal court as appropriate. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,116,20,0,3
You agree to binding arbitration for all claims and waive your right to jury trial. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,binding,"binding,jury_waiver,class_action_waiver,location_specified",synthetic,False,217,38,2,1
Any controversy arising out of or relating to this Agreement shall be resolved through mandatory arbitration in New York. You waive your right to participate in class action lawsuits.,1,True,mandatory,"mandatory,class_action_waiver,location_specified",synthetic,False,183,29,2,1
These Terms are governed by the laws of the state of incorporation and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,107,20,0,2
The parties may agree to submit disputes to arbitration if both parties consent.,1,True,optional,"optional_arbitration,choice_available",original,True,80,13,1,1
All claims must be resolved through arbitration conducted by American Arbitration Association in the state where the Company is headquartered.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,142,20,2,1
Optional arbitration procedures are available through mediation services.,1,True,optional,"optional_arbitration,choice_available",original,True,73,8,2,0
Binding arbitration will be the exclusive remedy for any legal matter related to this service. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,binding,"binding,class_action_waiver,location_specified",synthetic,False,228,38,2,0
These Terms are governed by the laws of San Francisco County and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,101,19,0,2
Any conflict shall be resolved exclusively in the courts of the state of incorporation.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,87,14,0,1
Mediation may be used to resolve disputes before pursuing legal action.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,71,11,1,1
**You waive your right to a jury trial** All disputes will be resolved through mandatory arbitration. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"mandatory,jury_waiver",synthetic,False,180,26,2,4
Disputes should first be addressed through informal resolution procedures.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,74,9,0,2
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. You waive your right to participate in class action lawsuits.,1,True,mandatory,class_action_waiver,synthetic,False,165,24,1,2
These Terms are governed by the laws of the state of incorporation and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,107,20,0,2
Any disagreement arising out of or relating to this Terms of Service shall be resolved through final and binding arbitration in California.,1,True,binding,"binding,location_specified",synthetic,False,139,22,2,0
You waive your right to a jury trial All disputes will be resolved through mandatory arbitration. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,"mandatory,jury_waiver,location_specified",synthetic,False,169,29,2,1
Disputes may be resolved through arbitration or court proceedings at the party's option.,1,True,optional,"optional_arbitration,choice_available",original,True,88,13,1,3
The parties may agree to submit disputes to arbitration if both parties consent.,1,True,optional,"optional_arbitration,choice_available",original,True,80,13,1,1
You waive your right to a jury trial All disputes will be resolved through mandatory arbitration.,1,True,mandatory,"mandatory,jury_waiver",synthetic,False,97,16,2,1
Any legal matter arising out of or relating to this contract shall be resolved through individual arbitration in the state where the Company is headquartered.,1,True,mandatory,location_specified,synthetic,False,158,25,2,0
These Terms are governed by the laws of the state of incorporation and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,107,20,0,2
Any lawsuit or legal action must be filed in the appropriate court in California.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,81,14,0,1
"You and the Company agree that any legal matter will be resolved through individual arbitration, and you waive your right to participate in class actions. Small claims court proceedings are excluded from this arbitration requirement.",1,True,mandatory,class_action_waiver,synthetic,False,233,35,2,3
You agree that all disputes will be settled by final and binding arbitration administered by American Arbitration Association.,1,True,binding,"binding,provider_specified",synthetic,False,126,18,3,1
Binding arbitration will be the exclusive remedy for any dispute related to this service.,1,True,binding,binding,synthetic,False,89,14,2,1
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of International Chamber of Commerce.,1,True,mandatory,provider_specified,synthetic,False,151,23,1,2
Judicial proceedings are available for the resolution of any dispute.,0,False,none,no_arbitration,synthetic,False,69,10,0,3
IMPORTANT: You waive your right to a jury trial All disputes will be resolved through mandatory arbitration.,1,True,mandatory,"mandatory,jury_waiver",synthetic,False,108,17,2,1
Judicial proceedings are available for the resolution of any conflict. You waive any objection to venue in such courts. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,189,29,0,4
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,location_specified,synthetic,False,175,27,1,2
Litigation may be pursued in state or federal court as appropriate. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,116,20,0,3
Disputes will be resolved by a single arbitrator appointed under AAA rules. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified",synthetic,False,137,22,2,1
Binding arbitration will be the exclusive remedy for any dispute related to this service.,1,True,binding,binding,synthetic,False,89,14,2,1
Arbitration is available as an alternative dispute resolution mechanism.,1,True,optional,"optional_arbitration,choice_available",original,True,72,9,2,2
Judicial proceedings are available for the resolution of any claim. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,116,19,0,5
All claims must be resolved through arbitration conducted by American Arbitration Association in Delaware. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,178,27,2,1
"You and the Company agree that any dispute will be resolved through individual arbitration, and you waive your right to participate in class actions. You waive your right to participate in class action lawsuits. Small claims court proceedings are excluded from this arbitration requirement.",1,True,mandatory,class_action_waiver,synthetic,False,290,44,2,4
These Terms are governed by the laws of California and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,91,17,0,2
You agree that all claims will be settled by individual arbitration administered by ICC.,1,True,mandatory,provider_specified,synthetic,False,88,14,3,1
Legal proceedings may be initiated in any court of competent jurisdiction. You waive any objection to venue in such courts. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,193,30,0,4
All claims must be resolved through arbitration conducted by ICC in Delaware. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified,location_specified",synthetic,False,139,22,2,1
You agree that all disputes will be settled by final and binding arbitration administered by JAMS. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,binding,"binding,class_action_waiver,provider_specified,location_specified",synthetic,False,232,39,3,1
Court proceedings are the exclusive remedy for any claim arising from this agreement. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,155,23,0,3
Any lawsuit or legal action must be filed in the appropriate court in Delaware.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,79,14,0,1
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. You waive your right to participate in class action lawsuits.,1,True,mandatory,class_action_waiver,synthetic,False,165,24,1,2
You agree to binding arbitration for all disagreements and waive your right to jury trial.,1,True,binding,"binding,jury_waiver",synthetic,False,90,15,2,0
"You and the Company agree that any disagreement will be resolved through individual arbitration, and you waive your right to participate in class actions. The arbitration shall be governed by the laws of the State of Delaware.",1,True,mandatory,"class_action_waiver,location_specified",synthetic,False,226,37,2,0
Court proceedings are the exclusive remedy for any controversy arising from this agreement.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,91,13,0,3
You consent to the exclusive jurisdiction of the courts located in California. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,127,21,0,3
Optional arbitration procedures are available through mediation services.,1,True,optional,"optional_arbitration,choice_available",original,True,73,8,2,0
You consent to the exclusive jurisdiction of the courts located in the state of incorporation.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,94,15,0,2
Disputes may be resolved through arbitration or court proceedings at the party's option.,1,True,optional,"optional_arbitration,choice_available",original,True,88,13,1,3
Disputes will be resolved by a single arbitrator appointed under International Chamber of Commerce rules. You waive your right to participate in class action lawsuits. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"class_action_waiver,provider_specified",synthetic,False,246,35,2,4
IMPORTANT: You waive your right to a jury trial All disputes will be resolved through mandatory arbitration.,1,True,mandatory,"mandatory,jury_waiver",synthetic,False,108,17,2,1
All claims must be resolved through arbitration conducted by International Chamber of Commerce in Delaware.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,107,15,1,1
Any legal matter shall be resolved exclusively in the courts of the state of incorporation. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,140,24,0,2
You consent to the exclusive jurisdiction of the courts located in the state of incorporation. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,164,25,0,2
Disputes will be resolved by a single arbitrator appointed under International Chamber of Commerce rules.,1,True,mandatory,provider_specified,synthetic,False,105,15,1,1
**You waive your right to a jury trial** All disputes will be resolved through mandatory arbitration.,1,True,mandatory,"mandatory,jury_waiver",synthetic,False,101,16,2,1
**You waive your right to a jury trial** All disputes will be resolved through mandatory arbitration. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"mandatory,jury_waiver",synthetic,False,180,26,2,4
Legal proceedings may be initiated in any court of competent jurisdiction. You waive any objection to venue in such courts. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,193,30,0,4
Litigation may be pursued in state or federal court as appropriate.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,67,11,0,2
"Any controversy or claim arising out of or relating to this contract, or the breach thereof, shall be settled by arbitration administered by the American Arbitration Association in accordance with its Commercial Arbitration Rules, and judgment on the award rendered by the arbitrator(s) may be entered in any court having jurisdiction thereof. The place of arbitration shall be New York, New York. The arbitration shall be governed by the laws of the State of New York.",1,True,binding,"binding,AAA_commercial_rules,location_specified,governing_law",original,False,469,76,3,5
Judicial proceedings are available for the resolution of any claim. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,no_arbitration,synthetic,False,137,20,0,3
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,,synthetic,False,182,24,1,3
Arbitration is available as an alternative dispute resolution mechanism.,1,True,optional,"optional_arbitration,choice_available",original,True,72,9,2,2
These Terms are governed by the laws of New York and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,89,18,0,2
Disputes will be resolved by a single arbitrator appointed under AAA rules.,1,True,mandatory,provider_specified,synthetic,False,75,12,2,1
"PLEASE READ THIS SECTION CAREFULLY. IT AFFECTS YOUR LEGAL RIGHTS. you acknowledge that all disagreements between you and us will be resolved by individual arbitration. You GIVE UP YOUR RIGHT TO GO TO COURT to assert or defend your rights. You also GIVE UP YOUR RIGHT TO PARTICIPATE IN A CLASS ACTION OR OTHER CLASS PROCEEDING. Your rights will be determined by a NEUTRAL ARBITRATOR and NOT a judge or jury. You are entitled to a FAIR HEARING, but the arbitration procedures are SIMPLER AND MORE LIMITED THAN RULES APPLICABLE IN COURT.",1,True,binding,"binding,emphasized_text,jury_trial_waiver,class_action_waiver,court_waiver",variation,False,534,92,3,2
The parties may agree to submit disputes to arbitration if both parties consent.,1,True,optional,"optional_arbitration,choice_available",original,True,80,13,1,1
These Terms are governed by the laws of California and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,91,17,0,2
These Terms are governed by the laws of Delaware and any disputes will be heard in court. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,138,26,0,3
You may bring legal action in small claims court or any other court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,94,16,0,3
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,location_specified,synthetic,False,175,27,1,2
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of International Chamber of Commerce. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"class_action_waiver,provider_specified,location_specified",synthetic,False,364,56,1,4
Any claim arising out of or relating to this Terms and Conditions shall be resolved through individual arbitration in California. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,location_specified",synthetic,False,191,30,2,1
Litigation may be pursued in state or federal court as appropriate.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,67,11,0,2
Court proceedings are the exclusive remedy for any conflict arising from this agreement.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,88,13,0,2
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded.,1,True,mandatory,,synthetic,False,103,14,1,2
You agree that any legal action may be brought in federal or state court in Delaware. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,134,25,0,2
All claims must be resolved through arbitration conducted by International Chamber of Commerce in the state where the Company is headquartered.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,143,21,1,1
You agree that all legal matters will be settled by confidential arbitration administered by AAA.,1,True,mandatory,provider_specified,synthetic,False,97,15,2,0
You consent to the exclusive jurisdiction of the courts located in San Francisco County. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,137,23,0,3
You consent to the exclusive jurisdiction of the courts located in New York.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,76,13,0,2
Mediation may be used to resolve disputes before pursuing legal action.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,71,11,1,1
You agree to binding arbitration for all claims and waive your right to jury trial.,1,True,binding,"binding,jury_waiver",synthetic,False,83,15,2,1
Litigation may be pursued in state or federal court as appropriate.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,67,11,0,2
Legal proceedings may be initiated in any court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,74,11,0,3
You consent to the exclusive jurisdiction of the courts located in Delaware. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,146,22,0,2
"You and the Company agree that any conflict will be resolved through individual arbitration, and you waive your right to participate in class actions.",1,True,mandatory,class_action_waiver,synthetic,False,150,24,2,0
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,,synthetic,False,182,24,1,3
Any dispute shall be resolved exclusively in the courts of California.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,70,11,0,2
These Terms are governed by the laws of the state of incorporation and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,107,20,0,2
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. You waive your right to participate in class action lawsuits.,1,True,mandatory,class_action_waiver,synthetic,False,165,24,1,2
Any controversy shall be resolved exclusively in the courts of the state of incorporation. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,139,23,0,3
Mediation may be used to resolve disputes before pursuing legal action.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,71,11,1,1
These Terms are governed by the laws of the state of incorporation and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,107,20,0,2
You agree that all controversys will be settled by confidential arbitration administered by American Arbitration Association.,1,True,mandatory,provider_specified,synthetic,False,125,16,2,1
Judicial proceedings are available for the resolution of any disagreement. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,123,19,0,4
You may bring legal action in small claims court or any other court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,94,16,0,3
Binding arbitration will be the exclusive remedy for any claim related to this service.,1,True,binding,binding,synthetic,False,87,14,2,1
Any disagreement shall be resolved exclusively in the courts of New York. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,122,21,0,2
"You are responsible for maintaining the confidentiality of your account and password, including but not limited to the restriction of access to your computer and/or account. You agree to accept responsibility for any and all activities or actions that occur under your account and/or password, whether your password is with our Service or a third-party service.",0,False,none,"user_responsibility,account_security,password_protection",original,False,361,56,0,0
Disputes will be resolved by a single arbitrator appointed under ICC rules. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified,location_specified",synthetic,False,209,35,3,1
All claims must be resolved through arbitration conducted by ICC in Delaware. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified,location_specified",synthetic,False,139,22,2,1
You agree that all legal matters will be settled by mandatory arbitration administered by AAA.,1,True,mandatory,"mandatory,provider_specified",synthetic,False,94,15,3,0
Legal proceedings may be initiated in any court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,74,11,0,3
You agree to binding arbitration for all disagreements and waive your right to jury trial. The arbitration shall be governed by the laws of the State of Delaware.,1,True,binding,"binding,jury_waiver,location_specified",synthetic,False,162,28,2,0
Disputes may be resolved through arbitration or court proceedings at the party's option.,1,True,optional,"optional_arbitration,choice_available",original,True,88,13,1,3
All claims must be resolved through arbitration conducted by JAMS in California. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,159,22,2,3
You may bring legal action in small claims court or any other court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,94,16,0,3
These Terms are governed by the laws of New York and any disputes will be heard in court. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,138,27,0,3
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of International Chamber of Commerce. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified",synthetic,False,213,33,1,2
Any lawsuit or legal action must be filed in the appropriate court in Delaware.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,79,14,0,1
You agree that all disputes will be settled by binding arbitration administered by ICC.,1,True,binding,"binding,provider_specified",synthetic,False,87,14,3,1
Arbitration is available as an alternative dispute resolution mechanism.,1,True,optional,"optional_arbitration,choice_available",original,True,72,9,2,2
All claims must be resolved through arbitration conducted by American Arbitration Association in the state where the Company is headquartered. The arbitration shall be governed by the laws of the State of Delaware. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,293,43,2,3
Court proceedings are the exclusive remedy for any legal matter arising from this agreement.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,92,14,0,2
Legal proceedings may be initiated in any court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,74,11,0,3
You agree to binding arbitration for all conflicts and waive your right to jury trial.,1,True,binding,"binding,jury_waiver",synthetic,False,86,15,2,0
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,,synthetic,False,182,24,1,3
You consent to the exclusive jurisdiction of the courts located in the state of incorporation. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,143,24,0,3
Legal proceedings may be initiated in any court of competent jurisdiction. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,123,20,0,4
Optional arbitration procedures are available through mediation services.,1,True,optional,"optional_arbitration,choice_available",original,True,73,8,2,0
All claims must be resolved through arbitration conducted by JAMS in the state where the Company is headquartered.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,114,18,2,1
Judicial proceedings are available for the resolution of any legal matter.,0,False,none,no_arbitration,synthetic,False,74,11,0,2
